,Run,K,M,J,a,b,eig1,eig2
52,1,10,30,50,0.00597817206003346,0.004341348113780962,270,294
53,1,10,30,60,0.005719030757329732,0.00397250164743756,271,294
54,1,10,40,10,0.00925565704394601,0.008796583065984851,258,327
55,1,10,40,20,0.006664261403095091,0.006010424045359402,318,376
56,1,10,40,30,0.00576691559032884,0.004946203958827285,338,384
57,1,10,40,40,0.005202357377169543,0.0042280947100289045,347,388
58,1,10,40,50,0.00483050761532787,0.0037364209340332117,353,389
59,1,10,40,60,0.004578076016856622,0.0033906538579028026,357,391
60,1,10,50,10,0.008044159988586926,0.007618605110726516,290,371
61,1,10,50,20,0.005853445827729511,0.005405833754972938,380,459
62,1,10,50,30,0.00500876875718295,0.004438403273254254,410,475
63,1,10,50,40,0.004465266699703173,0.003770280173078401,425,481
64,1,10,50,50,0.004134439485999619,0.003349179236507906,435,485
65,1,10,50,60,0.00389208912926492,0.0030271985628349245,441,486
66,1,10,60,10,0.007487077887145905,0.007089461922070956,313,397
67,1,10,60,20,0.005313495357796846,0.004973194855642587,430,533
68,1,10,60,30,0.004464873506290555,0.0040404057066694594,477,563
69,1,10,60,40,0.0039759968649130594,0.0034605943591100702,500,573
70,1,10,60,50,0.003673297415115354,0.0030861377975058154,513,579
71,1,10,60,60,0.0034604927315612577,0.0028124783180127903,522,581
72,1,40,10,10,0.0077511462004415796,0.0072550836062067105,298,364
73,1,40,10,20,0.00594134895991262,0.005166115702882872,335,383
74,1,40,10,30,0.005107515310746805,0.004105257538280055,349,388
75,1,40,10,40,0.00476902738109843,0.003652960059598309,354,390
76,1,40,10,50,0.004432850963315401,0.003188184511310777,360,391
77,1,40,10,60,0.004155968207820479,0.0027913222944959803,364,393
78,1,40,20,10,0.005698396693620751,0.005514289184397625,441,571
79,1,40,20,20,0.003902334013150934,0.0036580343879649172,588,722
80,1,40,20,30,0.0032877836653112807,0.0029671643848822025,644,754
81,1,40,20,40,0.002938417087151249,0.002546578951045565,671,766
82,1,40,20,50,0.0027516028204463507,0.002315489311365442,687,773
83,1,40,20,60,0.002578178500313775,0.002088990206326095,697,776
84,1,40,30,10,0.004828266116076079,0.004632213304972839,505,642
85,1,40,30,20,0.003201743897275507,0.0030755915891077547,764,980
86,1,40,30,30,0.0026441914397146086,0.002492702554789711,882,1083
87,1,40,30,40,0.0023089238768304533,0.002113201457568141,944,1121
88,1,40,30,50,0.002105768896454536,0.0018775305176427929,983,1140
89,1,40,30,60,0.001967022633966392,0.0017097176967234898,1008,1150
90,1,40,40,10,0.004382984621714412,0.004163907805522769,538,668
91,1,40,40,20,0.00280248962400827,0.002706111294621226,882,1139
92,1,40,40,30,0.0022596051949027762,0.0021602617940168064,1066,1354
93,1,40,40,40,0.0019645118662248813,0.0018457131833782244,1174,1442
94,1,40,40,50,0.001782743827121971,0.001646621346476019,1243,1485
95,1,40,40,60,0.001649598740022519,0.0014920198423499702,1287,1508
96,1,40,50,10,0.004124643754126817,0.003877742461199253,556,681
97,1,40,50,20,0.0025780074305603506,0.0024847449966730255,955,1225
98,1,40,50,30,0.0020363795167918537,0.0019646741127346177,1211,1560
99,1,40,50,40,0.0017533441378952091,0.0016737750799829777,1368,1723
100,1,40,50,50,0.0015663522214507714,0.001471817541040147,1470,1804
101,1,40,50,60,0.001448164324305793,0.0013419888970146586,1540,1849
102,1,40,60,10,0.003926270879093748,0.0036589016563209655,568,688
103,1,40,60,20,0.0023927908996781446,0.002291918112578558,1008,1279
104,1,40,60,30,0.0018718373150086113,0.0018075590983526848,1319,1705
105,1,40,60,40,0.0016020431526847505,0.0015412651785654476,1528,1956
106,1,40,60,50,0.001431947164393131,0.0013639134558784964,1663,2088
107,1,40,60,60,0.0013152766861642745,0.0012390072008579653,1762,2165
108,1,100,10,10,0.0034990801429780503,0.0033132316459989516,665,834
109,1,100,10,20,0.002652884585480913,0.00240128869745073,802,941
110,1,100,10,30,0.0022666467610403572,0.0019338181426484529,849,959
111,1,100,10,40,0.0020156170990381227,0.0016090525954777994,871,968
112,1,100,10,50,0.0018835927981118666,0.0014309467179432168,886,974
113,1,100,10,60,0.0017963094885952277,0.0013090413403329612,890,975
114,1,100,20,10,0.0026320246547987245,0.0025040345740433585,892,1110
115,1,100,20,20,0.0017679581141048378,0.001679293285922046,1318,1659
116,1,100,20,30,0.0014680746199326228,0.0013611725946536914,1514,1825
117,1,100,20,40,0.0012940699012070874,0.0011605236269745607,1603,1877
118,1,100,20,50,0.001193942139790576,0.0010425529517333,1663,1906
119,1,100,20,60,0.001112966857401775,0.0009408920231279023,1698,1920
120,1,100,30,10,0.002245840712159177,0.0020892461005387096,979,1185
121,1,100,30,20,0.0014728807807058888,0.0014106733347346528,1616,2046
122,1,100,30,30,0.0011791731586405377,0.0011186273876285385,1973,2485
123,1,100,30,40,0.0010325518028715217,0.0009657880818180188,2186,2679
124,1,100,30,50,0.0009296511227263775,0.0008514515694908679,2320,2770
125,1,100,30,60,0.0008600183337820851,0.0007705906769043026,2406,2819
126,1,100,40,10,0.00204541232394803,0.0018662151016598212,1019,1209
127,1,100,40,20,0.0012997182000241763,0.0012345982381239161,1786,2222
128,1,100,40,30,0.0010324628597657378,0.0009896151944507176,2307,2930
129,1,100,40,40,0.000888187556145018,0.0008449304127452718,2643,3323
130,1,100,40,50,0.0007946274158096693,0.0007457128345245643,2860,3526
131,1,100,40,60,0.0007320048446755484,0.0006776169496068013,3014,3640
132,1,100,50,10,0.0019068602500606907,0.0017047496251496727,1043,1225
133,1,100,50,20,0.0011907988739083795,0.0011201324769106653,1895,2316
134,1,100,50,30,0.0009384108389659099,0.0008977121562660023,2526,3185
135,1,100,50,40,0.000796402985164284,0.0007618782297668282,2974,3781
136,1,100,50,50,0.0007100837251570674,0.0006747827620949119,3294,4146
137,1,100,50,60,0.0006488954617026159,0.0006111750304279905,3530,4367
138,1,100,60,10,0.0018314824509514476,0.0016156530148463445,1056,1234
139,1,100,60,20,0.0011076671828213762,0.0010278954904110614,1961,2365
140,1,100,60,30,0.0008636510573717328,0.0008200826453839804,2684,3338
141,1,100,60,40,0.0007326738007286935,0.0007017733040182605,3236,4096
142,1,100,60,50,0.0006465491462974044,0.0006178480366090548,3648,4628
143,1,100,60,60,0.0005911709801477504,0.0005618404566421717,3953,4975
144,2,1,10,10,0.13142470311057902,0.05165906467304482,10,10
145,2,1,10,20,0.12163779760579285,0.036608839349892265,10,10
146,2,1,10,30,0.12416447234826636,0.04058967781832613,10,10
147,2,1,10,40,0.1158282273771964,0.0272714006883775,10,10
148,2,1,10,50,0.11449754786680795,0.025092021969398966,10,10
149,2,1,10,60,0.11123571479445636,0.019650034964109872,10,10
150,2,1,20,10,0.07487639038343356,0.0411085605349057,19,20
151,2,1,20,20,0.06705936180609175,0.02931822589857266,19,20
152,2,1,20,30,0.06116474352117412,0.01981328208940028,19,20
153,2,1,20,40,0.06040344790346731,0.018544374293708598,19,20
154,2,1,20,50,0.05997124831246414,0.017819114076714458,19,20
155,2,1,20,60,0.05927329849743349,0.016641237805347205,19,20
156,2,1,30,10,0.05427265560873481,0.0342734346943592,28,30
157,2,1,30,20,0.04722459119743261,0.023843151922282913,28,30
158,2,1,30,30,0.04400083107914389,0.018757312990915976,28,30
159,2,1,30,40,0.04284135246610374,0.016877463189528527,29,30
160,2,1,30,50,0.04149383911353229,0.014645130487143415,29,30
161,2,1,30,60,0.04065990010143456,0.013241561834657616,29,30
162,2,1,40,10,0.041463540614062884,0.026989342440475857,37,40
163,2,1,40,20,0.03649730416498193,0.019709215025168814,37,40
164,2,1,40,30,0.03379803663422544,0.015481595014295326,38,40
165,2,1,40,40,0.032692359737803295,0.013692898201336448,38,40
166,2,1,40,50,0.031932862490828835,0.012440869910879147,38,40
167,2,1,40,60,0.03124460706050924,0.01128912173469253,38,40
168,2,1,50,10,0.03597325756068438,0.025654858438636574,45,49
169,2,1,50,20,0.030070458373775366,0.017184941283200958,46,50
170,2,1,50,30,0.027916017689951493,0.013855184949023786,47,50
171,2,1,50,40,0.02700974632193122,0.012409625466828039,47,50
172,2,1,50,50,0.026036483524049064,0.010818727851062795,47,50
173,2,1,50,60,0.025654966626880535,0.010188731991613855,47,50
174,2,1,60,10,0.030455972899223378,0.022103129260224213,54,59
175,2,1,60,20,0.02607061286991145,0.015904758234528797,55,59
176,2,1,60,30,0.024389276340288563,0.013350360813198238,56,60
177,2,1,60,40,0.023311442492854512,0.011667362971434813,56,60
178,2,1,60,50,0.02247906531197079,0.01032939125439668,56,60
179,2,1,60,60,0.021743770952728877,0.009125769528545597,56,60
180,2,10,10,10,0.021223115053087684,0.01729629289258539,87,97
181,2,10,10,20,0.01732662464461646,0.012070869283334614,91,98
182,2,10,10,30,0.01598325331285453,0.010118546501995786,92,99
183,2,10,10,40,0.01485855253922164,0.00842116988711542,93,99
184,2,10,10,50,0.014298663797288723,0.007543896522093618,93,99
185,2,10,10,60,0.013940103757263716,0.006977579411215115,93,99
186,2,10,20,10,0.013199183668766497,0.01181675989421855,160,188
187,2,10,20,20,0.01050084620593044,0.008564561412635535,174,194
188,2,10,20,30,0.009235800426215458,0.006870956333974004,179,196
189,2,10,20,40,0.008538708191517962,0.005888493883366565,181,196
190,2,10,20,50,0.008169483205753829,0.005353428231831278,182,197
191,2,10,20,60,0.0078043286758746775,0.004807397636840479,183,197
192,2,10,30,10,0.010566040281233017,0.009841599912057589,216,267
193,2,10,30,20,0.007858212414098167,0.006784016392759539,251,287
194,2,10,30,30,0.0069375585965180285,0.005637097054580857,261,291
195,2,10,30,40,0.0063558765020234895,0.004859149989229849,266,293
196,2,10,30,50,0.006023191962021063,0.004404737310991636,269,293
197,2,10,30,60,0.005693529159913667,0.003936572891284192,272,294
198,2,10,40,10,0.009063326941970064,0.008588309446570259,260,330
199,2,10,40,20,0.006671712848317194,0.006016946451454305,318,376
200,2,10,40,30,0.005684918768048127,0.004837167430838108,338,385
201,2,10,40,40,0.005130102836176364,0.0041322980469376165,348,388
202,2,10,40,50,0.004814508289916872,0.0037145221921661997,354,390
203,2,10,40,60,0.00461642653217659,0.0034433263082306277,357,391
204,2,10,50,10,0.008279553431269383,0.007889190949224568,288,370
205,2,10,50,20,0.005884387442743999,0.005436521313998286,378,458
206,2,10,50,30,0.005001161807827441,0.00442687894691474,409,475
207,2,10,50,40,0.004475175641896866,0.0037855384934047495,426,481
208,2,10,50,50,0.004137430654285768,0.003352354327803877,435,485
209,2,10,50,60,0.0039228699691038725,0.0030699055557457237,440,486
210,2,10,60,10,0.007570288484613554,0.007177604013159562,312,397
211,2,10,60,20,0.005310020933929172,0.004974304085306326,432,534
212,2,10,60,30,0.004430006737637685,0.003998379190170629,478,563
213,2,10,60,40,0.003978656250484793,0.003463755352851827,500,573
214,2,10,60,50,0.003685917813757134,0.0031013045592067534,512,578
215,2,10,60,60,0.003456871249328433,0.00280715574629466,521,581
216,2,40,10,10,0.007897734499984406,0.0074078476579614505,295,362
217,2,40,10,20,0.0059497032437649585,0.005175965552005628,335,383
218,2,40,10,30,0.005236723146956633,0.004282411093387039,349,388
219,2,40,10,40,0.004734333226170001,0.0036057138388589554,355,390
220,2,40,10,50,0.004478398484078745,0.003253165308937475,359,391
221,2,40,10,60,0.004252288650523024,0.0029322097860331182,363,392
222,2,40,20,10,0.0056632719194990334,0.005466913377681586,438,567
223,2,40,20,20,0.0038988354976480376,0.003655984145185417,590,725
224,2,40,20,30,0.0032880969983273304,0.0029632539202903425,643,754
225,2,40,20,40,0.002968359184618091,0.0025841869908042533,670,765
226,2,40,20,50,0.002739092838373859,0.002297023486477104,686,772
227,2,40,20,60,0.0025562117297907873,0.0020591715374656434,698,776
228,2,40,30,10,0.00490254454404969,0.004713977507867371,502,638
229,2,40,30,20,0.003209678939806388,0.0030836336430300976,762,976
230,2,40,30,30,0.0026175084011744298,0.002463503588382566,885,1086
231,2,40,30,40,0.002294542804928186,0.0020974963949110955,944,1120
232,2,40,30,50,0.002121033504597519,0.0018967678809037804,981,1138
233,2,40,30,60,0.0019605264092325977,0.0017009702923081783,1007,1150
234,2,40,40,10,0.004357256229114909,0.004122181599183419,536,667
235,2,40,40,20,0.002829043239726822,0.0027345219735473215,877,1135
236,2,40,40,30,0.0022624720880383663,0.0021646063616634257,1068,1355
237,2,40,40,40,0.001974831359867381,0.0018587454761166055,1174,1442
238,2,40,40,50,0.0017870279456441117,0.0016513560177454246,1240,1484
239,2,40,40,60,0.0016457585250410649,0.0014870179979649364,1286,1507
240,2,40,50,10,0.004100000449035709,0.0038503905831067014,556,680
241,2,40,50,20,0.0025660036931285006,0.002472408250451589,958,1231
242,2,40,50,30,0.0020226926879443464,0.0019460239573717314,1209,1559
243,2,40,50,40,0.0017575657374878143,0.0016773690373981126,1364,1721
